instance,n_items,method,family,objective,feasible,solve_time,penalized
3dBPP_1,51,MILP,Exact,inf,0,0.279183000093326,102000.0
3dBPP_1,51,BnB,LS,inf,0,0.0005908999592065811,102000.0
3dBPP_1,51,GA,POP,inf,0,16.00595589983277,3963.8271415185823
3dBPP_1,51,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_10,51,MILP,Exact,inf,0,0.03817100008018315,102000.0
3dBPP_10,51,BnB,LS,inf,0,0.00032480014488101006,102000.0
3dBPP_10,51,GA,POP,inf,0,16.36301270010881,4093.5918645264514
3dBPP_10,51,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_11,38,MILP,Exact,1225.275327429368,1,0.06150850001722574,1225.275327429368
3dBPP_11,38,BnB,LS,1350.072217215518,1,60.00001160008833,1350.072217215518
3dBPP_11,38,GA,POP,1266.874290691418,1,30.079831500072032,1266.874290691418
3dBPP_11,38,SA,LS,1225.275327429368,1,30.00014659995213,1225.275327429368
3dBPP_12,38,MILP,Exact,1056.4927456188902,1,0.041851099813356996,1056.4927456188902
3dBPP_12,38,BnB,LS,1056.4927456188902,1,1.8021564001683146,1056.4927456188902
3dBPP_12,38,GA,POP,1056.4927456188902,1,30.051096299896017,1056.4927456188902
3dBPP_12,38,SA,LS,1056.4927456188902,1,30.000090799992904,1056.4927456188902
3dBPP_2,51,MILP,Exact,1879.4105537113846,1,0.056627599988132715,1879.4105537113846
3dBPP_2,51,BnB,LS,1879.4105537113846,1,60.000002400018275,1879.4105537113846
3dBPP_2,51,GA,POP,1879.410553711385,1,30.14062609989196,1879.410553711385
3dBPP_2,51,SA,LS,1879.4105537113846,1,30.000061800004914,1879.4105537113846
3dBPP_3,52,MILP,Exact,inf,0,0.04313379991799593,104000.0
3dBPP_3,52,BnB,LS,inf,0,0.00024500000290572643,104000.0
3dBPP_3,52,GA,POP,inf,0,15.144125899998471,3969.115226375265
3dBPP_3,52,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_4,52,MILP,Exact,inf,0,0.03674059989862144,104000.0
3dBPP_4,52,BnB,LS,inf,0,0.0005043998826295137,104000.0
3dBPP_4,52,GA,POP,inf,0,17.835114399902523,3969.115226375265
3dBPP_4,52,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_5,53,MILP,Exact,inf,0,0.04100059997290373,106000.0
3dBPP_5,53,BnB,LS,inf,0,0.0003019999712705612,106000.0
3dBPP_5,53,GA,POP,inf,0,16.909642099868506,3999.6700955720876
3dBPP_5,53,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_6,53,MILP,Exact,1748.857654716689,1,0.05080750002525747,1748.857654716689
3dBPP_6,53,BnB,LS,1956.8524710269398,1,60.000003800028935,1956.8524710269398
3dBPP_6,53,GA,POP,1748.8576547166892,1,30.146171000087634,1748.8576547166892
3dBPP_6,53,SA,LS,1748.857654716689,1,30.000139500014484,1748.857654716689
3dBPP_7,46,MILP,Exact,inf,0,0.03281589993275702,92000.0
3dBPP_7,46,BnB,LS,inf,0,0.0004680000711232424,92000.0
3dBPP_7,46,GA,POP,inf,0,14.9983866000548,3824.174284484092
3dBPP_7,46,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_8,46,MILP,Exact,1448.5649538425446,1,0.047803400084376335,1448.5649538425446
3dBPP_8,46,BnB,LS,inf,0,60.000055900076404,92000.0
3dBPP_8,46,GA,POP,1448.5649538425441,1,30.09173300000839,1448.5649538425441
3dBPP_8,46,SA,LS,1448.5649538425441,1,30.035576099995524,1448.5649538425441
3dBPP_9,47,MILP,Exact,inf,0,0.042815799824893475,94000.0
3dBPP_9,47,BnB,LS,inf,0,0.00024930015206336975,94000.0
3dBPP_9,47,GA,POP,inf,0,15.817108999937773,3848.016318774138
3dBPP_9,47,SA,LS,9000000000.0,0,30.0,9000000000.0
3dBPP_test,38,MILP,Exact,1258.0401610291412,1,0.0418571000918746,1258.0401610291412
3dBPP_test,38,BnB,LS,inf,0,60.000003200024366,76000.0
3dBPP_test,38,GA,POP,1258.0401610291412,1,30.11135959997773,1258.0401610291412
3dBPP_test,38,SA,LS,1258.0401610291412,1,30.000048799905926,1258.0401610291412
